,Name,genus,family,macroarea,longitude,latitude,82A Order of Subject and Verb,83A Order of Object and Verb,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
8,Abkhaz,Northwest Caucasian,Northwest Caucasian,Eurasia,41.0,43.0833333333,1 SV,1 OV,2 [V-Neg],2 [Neg-V],11 Type 3 / Type 4,4 None
34,Arabic (Egyptian),Semitic,Afro-Asiatic,Africa,31.0,30.0,1 SV,2 VO,2 [V-Neg],3 NegV&[Neg-V],15 OptDoubleNeg,4 None
54,Ainu,Ainu,Ainu,Eurasia,143.0,43.0,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
70,Alamblak,Sepik Hill,Sepik,Papunesia,143.33333333299998,-4.66666666667,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
89,Amele,Madang,Trans-New Guinea,Papunesia,145.58333333299998,-5.25,1 SV,1 OV,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
128,Apurinã,Purus,Arawakan,South America,-67.0,-9.0,1 SV,3 No dominant order,4 None,1 NegV,1 NegV,4 None
140,Armenian (Eastern),Armenian,Indo-European,Eurasia,45.0,40.0,1 SV,3 No dominant order,4 None,3 NegV&[Neg-V],7 Type 1 / Type 3,4 None
143,Arapesh (Mountain),Kombio-Arapesh,Torricelli,Papunesia,143.16666666700002,-3.46666666667,1 SV,2 VO,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
153,Asmat,Asmat-Kamoro,Trans-New Guinea,Papunesia,138.5,-5.5,1 SV,1 OV,1 VNeg,4 None,2 VNeg,4 None
183,Awa Pit,Barbacoan,Barbacoan,South America,-78.25,1.5,1 SV,1 OV,3 VNeg&[V-Neg],1 NegV,14 ObligDoubleNeg,4 None
201,Bagirmi,Bongo-Bagirmi,Central Sudanic,Africa,16.0,11.666666666700001,1 SV,2 VO,1 VNeg,4 None,2 VNeg,4 None
355,Burmese,Burmese-Lolo,Sino-Tibetan,Eurasia,96.0,21.0,1 SV,1 OV,1 VNeg,2 [Neg-V],14 ObligDoubleNeg,4 None
372,Basque,Basque,Basque,Eurasia,-3.0,43.0,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
388,Burushaski,Burushaski,Burushaski,Eurasia,74.5,36.5,1 SV,1 OV,4 None,2 [Neg-V],3 [Neg-V],4 None
431,Chamorro,Chamorro,Austronesian,Papunesia,144.75,13.45,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
440,Chukchi,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,-173.0,67.0,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
462,Canela-Krahô,Ge-Kaingang,Macro-Ge,South America,-46.0,-6.0,1 SV,1 OV,1 VNeg,4 None,2 VNeg,4 None
650,English,Germanic,Indo-European,Eurasia,0.0,52.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
653,Epena Pedee,Choco,Choco,South America,-77.0,3.0,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
662,Evenki,Tungusic,Altaic,Eurasia,125.0,56.0,1 SV,1 OV,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
675,Fijian,Oceanic,Austronesian,Papunesia,178.0,-17.8333333333,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
676,Finnish,Finnic,Uralic,Eurasia,25.0,62.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
689,French,Romance,Indo-European,Eurasia,2.0,48.0,1 SV,2 VO,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
731,Georgian,Kartvelian,Kartvelian,Eurasia,44.0,42.0,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
732,German,Germanic,Indo-European,Eurasia,10.0,52.0,1 SV,3 No dominant order,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
774,Gooniyandi,Bunuban,Bunuban,Australia,126.333333333,-18.3333333333,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
778,Grebo,Kru,Niger-Congo,Africa,-8.0,5.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
783,Greek (Modern),Greek,Indo-European,Eurasia,22.0,39.0,3 No dominant order,2 VO,4 None,1 NegV,1 NegV,4 None
791,Greenlandic (West),Eskimo,Eskimo-Aleut,Eurasia,-51.0,64.0,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
798,Guaraní,Tupi-Guaraní,Tupian,South America,-56.0,-26.0,1 SV,2 VO,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
829,Hausa,West Chadic,Afro-Asiatic,Africa,7.0,12.0,1 SV,2 VO,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
836,Hebrew (Modern),Semitic,Afro-Asiatic,Eurasia,34.8333333333,31.5,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
845,Hindi,Indic,Indo-European,Eurasia,77.0,25.0,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
846,Hixkaryana,Cariban,Cariban,South America,-59.0,-1.0,2 VS,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
857,Hmong Njua,Hmong-Mien,Hmong-Mien,Eurasia,105.0,28.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
881,Hungarian,Ugric,Uralic,Eurasia,20.0,47.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
888,Hunzib,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,46.25,42.1666666667,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
916,Imonda,Border,Border,Papunesia,141.16666666700002,-3.33333333333,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
918,Indonesian,Malayo-Sumbawan,Austronesian,Papunesia,106.0,0.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
964,Jakaltek,Mayan,Mayan,North America,-91.6666666667,15.666666666700001,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
986,Japanese,Japanese,Japanese,Eurasia,140.0,37.0,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
992,Ju|'hoan,Ju-Kung,Kxa,Africa,21.0,-19.0,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
1019,Kayardild,Tangkic,Tangkic,Australia,139.5,-17.05,1 SV,3 No dominant order,2 [V-Neg],4 None,4 [V-Neg],4 None
1045,Ket,Yeniseian,Yeniseian,Eurasia,87.0,64.0,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
1047,Kewa,Engan,Trans-New Guinea,Papunesia,143.83333333299998,-6.5,1 SV,1 OV,4 None,2 [Neg-V],3 [Neg-V],4 None
1049,Koromfe,Gur,Niger-Congo,Africa,-0.916666666667,14.25,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
1060,Khalkha,Mongolic,Altaic,Eurasia,105.0,47.0,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
1068,Khoekhoe,Khoe-Kwadi,Khoe-Kwadi,Africa,18.0,-25.5,1 SV,1 OV,1 VNeg,4 None,2 VNeg,4 None
1081,Kiowa,Kiowa-Tanoan,Kiowa-Tanoan,North America,-99.0,37.0,1 SV,1 OV,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
1120,Kilivila,Oceanic,Austronesian,Papunesia,151.08333333299998,-8.5,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
1142,Kannada,Southern Dravidian,Dravidian,Eurasia,76.0,14.0,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
1151,Kanuri,Western Saharan,Saharan,Africa,13.0,12.0,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
1155,Koasati,Muskogean,Muskogean,North America,-85.1666666667,34.8333333333,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
1156,Kobon,Madang,Trans-New Guinea,Papunesia,144.33333333299998,-5.16666666667,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
1167,Korean,Korean,Korean,Eurasia,128.0,37.5,1 SV,1 OV,4 None,1 NegV,1 NegV,4 None
1194,Krongo,Kadugli,Kadu,Africa,30.0,10.5,2 VS,2 VO,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
1239,Kutenai,Kutenai,Kutenai,North America,-116.0,49.5,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
1282,Lango,Nilotic,Eastern Sudanic,Africa,33.0,2.16666666667,1 SV,2 VO,4 None,1 NegV,1 NegV,4 None
1285,Latvian,Baltic,Indo-European,Eurasia,24.0,57.0,3 No dominant order,2 VO,4 None,2 [Neg-V],3 [Neg-V],4 None
1287,Lavukaleve,Lavukaleve,Solomons East Papuan,Papunesia,159.2,-9.083333333330001,1 SV,1 OV,3 VNeg&[V-Neg],4 None,10 Type 2 / Type 4,4 None
1305,Lezgian,Lezgic,Nakh-Daghestanian,Eurasia,47.8333333333,41.6666666667,1 SV,1 OV,2 [V-Neg],4 None,4 [V-Neg],4 None
1325,Lakhota,Core Siouan,Siouan,North America,-101.833333333,43.8333333333,1 SV,1 OV,1 VNeg,4 None,2 VNeg,4 None
1368,Luvale,Bantoid,Niger-Congo,Africa,22.0,-12.0,1 SV,2 VO,1 VNeg,3 NegV&[Neg-V],14 ObligDoubleNeg,4 None
1383,Malagasy,Barito,Austronesian,Africa,47.0,-20.0,2 VS,2 VO,4 None,1 NegV,1 NegV,4 None
